iter	Passed	Remaining
0	157	157220
1	165	82677
2	170	56534
3	175	43777
4	183	36561
5	192	31828
6	200	28496
7	209	25916
8	216	23814
9	224	22212
10	231	20846
11	239	19723
12	246	18718
13	253	17887
14	261	17194
15	271	16690
16	278	16106
17	285	15562
18	292	15096
19	298	14648
20	306	14286
21	314	13967
22	322	13711
23	332	13528
24	339	13247
25	346	12971
26	355	12809
27	364	12641
28	371	12432
29	380	12295
30	388	12142
31	399	12072
32	409	11986
33	416	11843
34	424	11697
35	431	11558
36	439	11433
37	447	11333
38	455	11225
39	463	11134
40	471	11019
41	478	10910
42	484	10788
43	492	10696
44	500	10625
45	508	10548
46	516	10481
47	524	10410
48	541	10504
49	548	10424
50	556	10355
51	563	10279
52	571	10217
53	578	10143
54	586	10070
55	592	9996
56	599	9919
57	607	9874
58	615	9824
59	623	9765
60	631	9721
61	640	9691
62	649	9659
63	656	9596
64	665	9572
65	682	9657
66	690	9621
67	698	9577
68	708	9556
69	727	9665
70	736	9632
71	745	9605
72	756	9603
73	767	9597
74	775	9567
75	783	9524
76	791	9487
77	799	9455
78	808	9424
79	816	9386
80	826	9372
81	835	9351
82	843	9323
83	854	9318
84	864	9301
85	872	9276
86	880	9243
87	888	9207
88	896	9171
89	910	9207
90	917	9168
91	926	9139
92	933	9108
93	942	9080
94	951	9063
95	960	9045
96	970	9032
97	978	9009
98	988	8999
99	995	8963
100	1007	8971
101	1017	8958
102	1028	8958
103	1040	8961
104	1049	8942
105	1057	8923
106	1066	8900
107	1074	8871
108	1085	8871
109	1093	8849
110	1114	8929
111	1122	8896
112	1137	8931
113	1145	8900
114	1161	8938
115	1194	9100
116	1216	9180
117	1266	9466
118	1290	9550
119	1311	9617
120	1323	9616
121	1343	9669
122	1361	9707
123	1369	9674
124	1377	9642
125	1385	9611
126	1393	9577
127	1400	9540
128	1407	9502
129	1414	9463
130	1421	9428
131	1428	9395
132	1437	9370
133	1446	9348
134	1456	9332
135	1466	9314
136	1472	9278
137	1479	9242
138	1487	9212
139	1494	9177
140	1501	9148
141	1508	9112
142	1544	9255
143	1551	9225
144	1559	9194
145	1566	9164
146	1574	9133
147	1580	9101
148	1587	9067
149	1596	9046
150	1603	9017
151	1610	8987
152	1617	8956
153	1625	8928
154	1631	8894
155	1651	8934
156	1667	8951
157	1674	8924
158	1683	8904
159	1691	8878
160	1699	8855
161	1707	8832
162	1717	8816
163	1725	8796
164	1735	8780
165	1743	8759
166	1751	8737
167	1758	8709
168	1766	8687
169	1774	8662
170	1781	8637
171	1788	8608
172	1795	8581
173	1802	8556
174	1810	8534
175	1817	8507
176	1824	8484
177	1854	8565
178	1862	8543
179	1872	8529
180	1881	8512
181	1890	8496
182	1897	8470
183	1934	8578
184	1941	8550
185	1948	8526
186	1956	8507
187	1964	8485
188	1971	8460
189	1978	8434
190	1986	8412
191	1993	8388
192	2001	8368
193	2010	8353
194	2017	8329
195	2024	8305
196	2032	8283
197	2039	8260
198	2048	8244
199	2055	8220
200	2062	8199
201	2070	8178
202	2078	8161
203	2087	8144
204	2094	8123
205	2102	8104
206	2111	8088
207	2120	8075
208	2137	8088
209	2145	8071
210	2153	8051
211	2160	8031
212	2168	8013
213	2176	7994
214	2183	7971
215	2190	7950
216	2197	7927
217	2205	7910
218	2212	7891
219	2221	7875
220	2227	7853
221	2235	7832
222	2241	7810
223	2249	7792
224	2256	7772
225	2265	7759
226	2273	7742
227	2282	7727
228	2290	7711
229	2299	7699
230	2309	7687
231	2317	7673
232	2326	7658
233	2335	7645
234	2343	7628
235	2352	7615
236	2360	7601
237	2368	7583
238	2376	7565
239	2385	7552
240	2393	7538
241	2403	7526
242	2412	7514
243	2421	7501
244	2430	7490
245	2439	7476
246	2449	7468
247	2458	7455
248	2467	7443
249	2477	7432
250	2484	7414
251	2492	7399
252	2500	7381
253	2508	7367
254	2516	7352
255	2524	7338
256	2534	7326
257	2541	7308
258	2549	7294
259	2558	7283
260	2568	7272
261	2579	7264
262	2587	7250
263	2595	7235
264	2604	7224
265	2611	7206
266	2619	7190
267	2626	7173
268	2633	7156
269	2640	7138
270	2652	7134
271	2660	7120
272	2666	7101
273	2674	7086
274	2683	7075
275	2692	7063
276	2701	7050
277	2710	7038
278	2718	7024
279	2726	7011
280	2735	6998
281	2744	6987
282	2752	6973
283	2761	6963
284	2769	6947
285	2777	6933
286	2783	6915
287	2791	6899
288	2798	6885
289	2806	6871
290	2814	6856
291	2822	6843
292	2830	6829
293	2838	6817
294	2846	6802
295	2854	6788
296	2862	6775
297	2871	6764
298	2881	6755
299	2889	6743
300	2899	6732
301	2906	6718
302	2914	6703
303	2922	6690
304	2930	6677
305	2937	6663
306	2945	6648
307	2954	6637
308	2961	6623
309	2968	6607
310	2976	6593
311	2982	6577
312	2990	6564
313	2998	6550
314	3007	6540
315	3015	6526
316	3024	6516
317	3033	6506
318	3043	6496
319	3052	6486
320	3061	6475
321	3069	6463
322	3076	6448
323	3085	6438
324	3094	6427
325	3105	6420
326	3114	6409
327	3122	6397
328	3130	6384
329	3138	6371
330	3145	6356
331	3153	6344
332	3162	6335
333	3171	6323
334	3179	6311
335	3187	6299
336	3195	6286
337	3203	6274
338	3212	6263
339	3218	6248
340	3226	6234
341	3233	6220
342	3240	6206
343	3246	6191
344	3252	6175
345	3261	6164
346	3268	6150
347	3275	6137
348	3282	6123
349	3291	6112
350	3301	6103
351	3309	6092
352	3319	6083
353	3326	6070
354	3333	6057
355	3341	6043
356	3348	6030
357	3356	6018
358	3363	6004
359	3370	5992
360	3377	5978
361	3385	5966
362	3392	5953
363	3401	5943
364	3408	5930
365	3418	5921
366	3424	5907
367	3431	5893
368	3438	5879
369	3445	5866
370	3454	5856
371	3463	5846
372	3472	5837
373	3481	5828
374	3488	5813
375	3496	5802
376	3503	5790
377	3511	5778
378	3519	5766
379	3527	5754
380	3533	5741
381	3541	5730
382	3549	5717
383	3556	5705
384	3564	5693
385	3572	5682
386	3579	5669
387	3587	5657
388	3593	5644
389	3602	5633
390	3609	5622
391	3618	5612
392	3626	5600
393	3633	5588
394	3641	5576
395	3648	5564
396	3654	5551
397	3661	5537
398	3670	5528
399	3677	5516
400	3685	5505
401	3707	5514
402	3743	5544
403	3751	5533
404	3760	5524
405	3769	5515
406	3778	5505
407	3786	5494
408	3795	5484
409	3802	5472
410	3810	5460
411	3820	5451
412	3827	5439
413	3834	5427
414	3842	5416
415	3849	5403
416	3857	5393
417	3866	5383
418	3874	5371
419	3882	5361
420	3897	5359
421	3904	5347
422	3911	5335
423	3918	5323
424	3925	5310
425	3933	5300
426	3942	5290
427	3950	5279
428	3959	5269
429	3969	5261
430	3976	5249
431	3984	5238
432	3992	5227
433	4001	5218
434	4008	5206
435	4017	5197
436	4026	5187
437	4035	5177
438	4042	5166
439	4050	5154
440	4058	5143
441	4067	5135
442	4074	5123
443	4083	5113
